2005 2 1 321 30.652420.1212147.63 12.491.90 7 11.6238 .25 1.4  .7 F 12D 14010320.105
2005 2 1 324  3.782417.6312147.48 10.041.83 6 15.7204 .20 1.4 1.4 F 11D 14010323.P05
2005 2 1 337 37.422416.2612146.89  9.252.9221 17.9191 .20  .5 1.2 F 35D 14010337.P05
2005 2 1 339 22.182416.2812146.83 12.321.96 6 17.8211 .31 1.4 1.4 F 12D 14010337.205
2005 2 1 339 43.272416.0312146.54  9.311.73 6 18.2210 .14  .7 1.2 F 12D 14010337.305
2005 2 1 340  2.432415.7912148.10  8.152.4710 19.3199 .17  .7  .6 F 19D 14010337.105
2005 2 1 341 56.542419.1312147.91 13.062.00 7 13.4208 .14  .7  .7 F 13D 14010341.105
2005 2 1 342 27.692416.1512146.15 12.952.3710 17.8196 .36 1.4 1.3 F 19D 14010341.P05
2005 2 1 343 20.112415.9112148.24 10.662.09 7 19.1219 .13  .6 1.1 F 14D 14010341.205
2005 2 1 344  8.432416.1712148.48  9.201.75 5 18.8219 .12  .8 1.3 F 10D 14010341.305
2005 2 1 345 34.682416.7012145.05 11.302.35 8 16.6200 .38 1.6 1.4 F 15D 14010345.105
2005 2 1 345 44.382417.4412145.47 13.303.1730 15.3187 .38  .8 1.3 F 49D 14010345.P05
2005 2 1 346 18.682417.1512146.74 12.882.8312 16.2197 .37 1.3 1.0 F 21D 14010345.205
2005 2 1 347 21.272217.5312023.13 36.692.59 5  6.6260 .36 2.1 1.2 F  9D 14010345.305
2005 2 1 349  9.772416.0112147.85  9.802.3710 18.8202 .17  .7 1.3 F 19D 14010348.P05
2005 2 1 352 38.762416.5812147.62  9.921.72 6 17.6214 .13  .8 1.1 F 12D 14010352.105
2005 2 1 353 33.852415.8312147.09  9.702.4810 18.7213 .23  .8 1.5 F 20D 14010352.P05
2005 2 1 355  7.292416.1312145.41  9.133.4439 17.7182 .29  .3  .9 F 65C 14010354.P05
2005 2 1 355 40.442416.8612147.19 10.542.36 7 16.9211 .16 1.0 1.1 F 12D 14010354.105
2005 2 1 359  1.402416.6412147.48 11.561.81 5 17.5283 .09  .7  .7 F 10D 14010358.P05
2005 2 1 4 0 58.842416.6912145.89 11.163.2733 16.8189 .43 1.0 1.1 F 54D 14010400.P05
2005 2 1 4 1 26.372416.0112148.40 10.372.88 9 19.1219 .19  .8 1.3 F 18D 14010400.105
2005 2 1 4 3 42.352416.0912146.41 11.561.78 7 18.0209 .36 1.5 1.3 F 14D 14010403.P05
2005 2 1 4 6 29.602416.5912147.56  8.972.5211 17.6201 .14  .6  .4 F 21D 14010406.P05
2005 2 1 4 8 28.882426.8812148.66  7.431.37 5  7.5240 .28 1.9 1.0 F 10D 14010406.105
2005 2 1 410 32.682230.2312031.77 15.421.79 8 17.3212 .28 1.2  .6 F 15D 14010410.P05
2005 2 1 411 53.322416.2812147.32 10.351.91 8 18.0213 .22 1.0 1.4 F 16D 14010411.P05
2005 2 1 412 17.752418.3112148.70  7.441.54 5 15.5216 .31 1.3  .8 F  9D 14010411.105
2005 2 1 416 26.492421.2612148.24 12.461.37 3 10.4312 .12 1.2  .4 F  6D 14010416.P05
2005 2 1 421  4.922421.1412154.69  8.331.31 3 19.2308 .20 1.9 1.1 F  6D 14010420.P05
