model,d,m,precision,tp,fp
BLOW_HNSN_HUAN,4,9,0.0,0,11
BLOW_HNSN_HUAP,0,4,0.0,0,35
BLOW_HNSN_HUAP,0,5,0.0,0,19
BLOW_HNSN_HUAP,0,6,0.0,0,20
BLOW_HNSN_HUAP,0,7,0.0,0,39
BLOW_HNSN_HUAP,0,8,0.0,0,21
BLOW_HNSN_HUAP,0,9,0.0,0,58
BLOW_HNSN_HUAP,1,4,0.013888888888888888,1,71
BLOW_HNSN_HUAP,1,5,0.0,0,15
BLOW_HNSN_HUAP,1,6,0.0,0,18
BLOW_HNSN_HUAP,1,7,0.0,0,18
BLOW_HNSN_HUAP,1,8,0.0,0,39
BLOW_HNSN_HUAP,1,9,0.0,0,24
BLOW_HNSN_HUAP,2,4,0.045454545454545456,2,42
BLOW_HNSN_HUAP,2,5,0.0,0,17
BLOW_HNSN_HUAP,2,6,0.0,0,74
BLOW_HNSN_HUAP,2,7,0.0,0,21
BLOW_HNSN_HUAP,2,8,0.0,0,23
BLOW_HNSN_HUAP,2,9,0.0,0,14
BLOW_HNSN_HUAP,3,4,0.0,0,13
BLOW_HNSN_HUAP,3,5,0.0,0,55
BLOW_HNSN_HUAP,3,6,0.0,0,22
BLOW_HNSN_HUAP,3,7,0.0,0,19
BLOW_HNSN_HUAP,3,8,0.0,0,18
BLOW_HNSN_HUAP,3,9,0.0,0,26
BLOW_HNSN_HUAP,4,4,0.0,0,60
BLOW_HNSN_HUAP,4,5,0.0,0,32
BLOW_HNSN_HUAP,4,6,0.0,0,49
BLOW_HNSN_HUAP,4,7,0.0,0,17
BLOW_HNSN_HUAP,4,8,0.0,0,57
BLOW_HNSN_HUAP,4,9,0.0,0,7
BLOW_HNSN_JYAN,0,4,0.0,0,40
BLOW_HNSN_JYAN,0,5,0.0,0,30
BLOW_HNSN_JYAN,0,6,0.0,0,25
BLOW_HNSN_JYAN,0,7,0.0,0,31
BLOW_HNSN_JYAN,0,8,0.0,0,33
BLOW_HNSN_JYAN,0,9,0.0,0,33
BLOW_HNSN_JYAN,1,4,0.023255813953488372,1,42
BLOW_HNSN_JYAN,1,5,0.0,0,13
BLOW_HNSN_JYAN,1,6,0.0,0,20
BLOW_HNSN_JYAN,1,7,0.0,0,25
BLOW_HNSN_JYAN,1,8,0.0,0,21
BLOW_HNSN_JYAN,1,9,0.0,0,22
BLOW_HNSN_JYAN,2,4,0.03636363636363636,2,53
BLOW_HNSN_JYAN,2,5,0.0,0,6
BLOW_HNSN_JYAN,2,6,0.0,0,55
BLOW_HNSN_JYAN,2,7,0.0,0,16
BLOW_HNSN_JYAN,2,8,0.0,0,28
BLOW_HNSN_JYAN,2,9,0.0,0,10
BLOW_HNSN_JYAN,3,4,0.0,0,16
BLOW_HNSN_JYAN,3,5,0.0,0,53
BLOW_HNSN_JYAN,3,6,0.0,0,16
BLOW_HNSN_JYAN,3,7,0.0,0,10
BLOW_HNSN_JYAN,3,8,0.0,0,20
BLOW_HNSN_JYAN,3,9,0.0,0,28
BLOW_HNSN_JYAN,4,4,0.0,0,72
BLOW_HNSN_JYAN,4,5,0.0,0,27
BLOW_HNSN_JYAN,4,6,0.0,0,59
BLOW_HNSN_JYAN,4,7,0.0,0,13
BLOW_HNSN_JYAN,4,8,0.0,0,57
BLOW_HNSN_JYAN,4,9,0.0,0,6
BLOW_HNSN_NAAO,0,4,0.0,0,32
BLOW_HNSN_NAAO,0,5,0.0,0,22
BLOW_HNSN_NAAO,0,6,0.0,0,18
BLOW_HNSN_NAAO,0,7,0.0,0,36
BLOW_HNSN_NAAO,0,8,0.0,0,19
BLOW_HNSN_NAAO,0,9,0.0,0,49
BLOW_HNSN_NAAO,1,4,0.0,0,55
BLOW_HNSN_NAAO,1,5,0.0,0,15
BLOW_HNSN_NAAO,1,6,0.0,0,19
BLOW_HNSN_NAAO,1,7,0.0,0,20
BLOW_HNSN_NAAO,1,8,0.0,0,36
BLOW_HNSN_NAAO,1,9,0.0,0,32
BLOW_HNSN_NAAO,2,4,0.023255813953488372,1,42
BLOW_HNSN_NAAO,2,5,0.0,0,19
BLOW_HNSN_NAAO,2,6,0.0,0,68
BLOW_HNSN_NAAO,2,7,0.0,0,16
BLOW_HNSN_NAAO,2,8,0.0,0,23
BLOW_HNSN_NAAO,2,9,0.0,0,11
BLOW_HNSN_NAAO,3,4,0.0,0,13
BLOW_HNSN_NAAO,3,5,0.0,0,51
BLOW_HNSN_NAAO,3,6,0.0,0,21
BLOW_HNSN_NAAO,3,7,0.0,0,11
BLOW_HNSN_NAAO,3,8,0.0,0,16
BLOW_HNSN_NAAO,3,9,0.0,0,29
BLOW_HNSN_NAAO,4,4,0.0,0,63
BLOW_HNSN_NAAO,4,5,0.0,0,30
BLOW_HNSN_NAAO,4,6,0.0,0,49
BLOW_HNSN_NAAO,4,7,0.0,0,15
