input,tau1,tau90,tau180,tau365,tau730
gnss,0.7567545597723924,0.9883656173499756,0.9949598331915361,0.9996149676268834,0.9999418974847772
stats,0.708133922674389,0.9960715551850681,0.996602627947793,0.9987214373341049,0.998772427162146
all,0.7539297871259464,0.9953102403982975,0.996866317406469,0.9987800740868334,0.999121671068582
