tau,train_pos,train_n,train_pct,test_pos,test_n,test_pct
1,15,6576,0.22810218978102187,8,732,1.092896174863388
90,1083,6576,16.46897810218978,433,732,59.15300546448088
180,2163,6576,32.89233576642336,523,732,71.44808743169399
365,3678,6576,55.93065693430657,650,732,88.79781420765028
730,4979,6576,75.7147201946472,650,732,88.79781420765028
